source,pokemon,category,type,name,usage
2015-07_gen1ou-0.json,Alakazam,Stats,Raw count,,1695
2015-07_gen1ou-0.json,Alakazam,Stats,Avg. weight,,1.0
2015-07_gen1ou-0.json,Alakazam,Stats,Viability Ceiling,,89
2015-07_gen1ou-0.json,Alakazam,Stats,Serious,,45.546
2015-07_gen1ou-0.json,Alakazam,Abilities,,Illuminate,100.0
2015-07_gen1ou-0.json,Alakazam,Items,,Nothing,100.0
2015-07_gen1ou-0.json,Alakazam,Moves,,Psychic,98.879
2015-07_gen1ou-0.json,Alakazam,Moves,,Recover,95.398
2015-07_gen1ou-0.json,Alakazam,Moves,,Thunder Wave,90.737
2015-07_gen1ou-0.json,Alakazam,Moves,,Reflect,44.779
2015-07_gen1ou-0.json,Alakazam,Moves,,Seismic Toss,43.245
2015-07_gen1ou-0.json,Alakazam,Moves,,Nothing,3.953
2015-07_gen1ou-0.json,Alakazam,Moves,,Disable,3.481
2015-07_gen1ou-0.json,Alakazam,Moves,,Other,19.528
2015-07_gen1ou-0.json,Tauros,Stats,Raw count,,1591
2015-07_gen1ou-0.json,Tauros,Stats,Avg. weight,,1.0
2015-07_gen1ou-0.json,Tauros,Stats,Viability Ceiling,,89
2015-07_gen1ou-0.json,Tauros,Stats,Serious,,98.303
2015-07_gen1ou-0.json,Tauros,Abilities,,Illuminate,100.0
2015-07_gen1ou-0.json,Tauros,Items,,Nothing,100.0
2015-07_gen1ou-0.json,Tauros,Spreads,,Other,1.697
2015-07_gen1ou-0.json,Tauros,Moves,,Body Slam,98.743
2015-07_gen1ou-0.json,Tauros,Moves,,Earthquake,96.48
2015-07_gen1ou-0.json,Tauros,Moves,,Hyper Beam,93.903
2015-07_gen1ou-0.json,Tauros,Moves,,Blizzard,83.658
2015-07_gen1ou-0.json,Tauros,Moves,,Ice Beam,5.845
2015-07_gen1ou-0.json,Tauros,Moves,,Thunderbolt,4.274
2015-07_gen1ou-0.json,Tauros,Moves,,Other,17.096
2015-07_gen1ou-0.json,Exeggutor,Stats,Raw count,,1514
2015-07_gen1ou-0.json,Exeggutor,Stats,Avg. weight,,1.0
2015-07_gen1ou-0.json,Exeggutor,Stats,Viability Ceiling,,89
2015-07_gen1ou-0.json,Exeggutor,Stats,Serious,,21.004
2015-07_gen1ou-0.json,Exeggutor,Abilities,,Illuminate,100.0
2015-07_gen1ou-0.json,Exeggutor,Items,,Nothing,100.0
2015-07_gen1ou-0.json,Exeggutor,Moves,,Psychic,98.349
2015-07_gen1ou-0.json,Exeggutor,Moves,,Sleep Powder,96.565
2015-07_gen1ou-0.json,Exeggutor,Moves,,Explosion,87.517
2015-07_gen1ou-0.json,Exeggutor,Moves,,Mega Drain,36.46
2015-07_gen1ou-0.json,Exeggutor,Moves,,Stun Spore,32.893
2015-07_gen1ou-0.json,Exeggutor,Moves,,Double-Edge,17.107
2015-07_gen1ou-0.json,Exeggutor,Moves,,Rest,9.643
2015-07_gen1ou-0.json,Exeggutor,Moves,,Hyper Beam,9.115
2015-07_gen1ou-0.json,Exeggutor,Moves,,Other,12.351
2015-07_gen1ou-0.json,Chansey,Stats,Raw count,,1435
2015-07_gen1ou-0.json,Chansey,Stats,Avg. weight,,1.0
2015-07_gen1ou-0.json,Chansey,Stats,Viability Ceiling,,89
2015-07_gen1ou-0.json,Chansey,Stats,Serious,,36.098
2015-07_gen1ou-0.json,Chansey,Abilities,,Illuminate,100.0
2015-07_gen1ou-0.json,Chansey,Items,,Nothing,100.0
2015-07_gen1ou-0.json,Chansey,Moves,,Soft-Boiled,98.885
2015-07_gen1ou-0.json,Chansey,Moves,,Ice Beam,86.063
2015-07_gen1ou-0.json,Chansey,Moves,,Thunder Wave,82.509
2015-07_gen1ou-0.json,Chansey,Moves,,Thunderbolt,53.728
2015-07_gen1ou-0.json,Chansey,Moves,,Counter,33.101
2015-07_gen1ou-0.json,Chansey,Moves,,Reflect,11.568
2015-07_gen1ou-0.json,Chansey,Moves,,Seismic Toss,8.293
2015-07_gen1ou-0.json,Chansey,Moves,,Blizzard,7.805
2015-07_gen1ou-0.json,Chansey,Moves,,Other,18.049
2015-07_gen1ou-0.json,Snorlax,Stats,Raw count,,1213
2015-07_gen1ou-0.json,Snorlax,Stats,Avg. weight,,1.0
2015-07_gen1ou-0.json,Snorlax,Stats,Viability Ceiling,,89
2015-07_gen1ou-0.json,Snorlax,Stats,Serious,,8.904
2015-07_gen1ou-0.json,Snorlax,Abilities,,Illuminate,100.0
2015-07_gen1ou-0.json,Snorlax,Items,,Nothing,100.0
2015-07_gen1ou-0.json,Snorlax,Moves,,Body Slam,79.06
2015-07_gen1ou-0.json,Snorlax,Moves,,Earthquake,66.529
2015-07_gen1ou-0.json,Snorlax,Moves,,Self-Destruct,56.719
2015-07_gen1ou-0.json,Snorlax,Moves,,Hyper Beam,55.4
2015-07_gen1ou-0.json,Snorlax,Moves,,Rest,32.564
2015-07_gen1ou-0.json,Snorlax,Moves,,Blizzard,15.829
2015-07_gen1ou-0.json,Snorlax,Moves,,Amnesia,14.674
2015-07_gen1ou-0.json,Snorlax,Moves,,Surf,14.674
2015-07_gen1ou-0.json,Snorlax,Moves,,Reflect,12.531
2015-07_gen1ou-0.json,Snorlax,Moves,,Rock Slide,9.975
2015-07_gen1ou-0.json,Snorlax,Moves,,Double-Edge,9.893
2015-07_gen1ou-0.json,Snorlax,Moves,,Counter,6.76
2015-07_gen1ou-0.json,Snorlax,Moves,,Thunderbolt,6.018
