source,pokemon,category,type,name,usage
2024-04_gen6ou-0.json,Excadrill,Stats,Raw count,,37971
2024-04_gen6ou-0.json,Excadrill,Stats,Avg. weight,,1.0
2024-04_gen6ou-0.json,Excadrill,Stats,Viability Ceiling,,93
2024-04_gen6ou-0.json,Excadrill,Stats,Jolly,,3.418
2024-04_gen6ou-0.json,Excadrill,Stats,Adamant,,8.056
2024-04_gen6ou-0.json,Excadrill,Stats,Careful,,7.224
2024-04_gen6ou-0.json,Excadrill,Abilities,,Mold Breaker,70.248
2024-04_gen6ou-0.json,Excadrill,Abilities,,Sand Rush,28.335
2024-04_gen6ou-0.json,Excadrill,Abilities,,Sand Force,1.417
2024-04_gen6ou-0.json,Excadrill,Items,,Leftovers,57.794
2024-04_gen6ou-0.json,Excadrill,Items,,Choice Scarf,14.448
2024-04_gen6ou-0.json,Excadrill,Items,,Life Orb,8.58
2024-04_gen6ou-0.json,Excadrill,Items,,Focus Sash,6.879
2024-04_gen6ou-0.json,Excadrill,Items,,Air Balloon,5.783
2024-04_gen6ou-0.json,Excadrill,Items,,Assault Vest,3.666
2024-04_gen6ou-0.json,Excadrill,Items,,Other,2.85
2024-04_gen6ou-0.json,Excadrill,Spreads,,Other,49.696
2024-04_gen6ou-0.json,Excadrill,Moves,,Earthquake,99.284
2024-04_gen6ou-0.json,Excadrill,Moves,,Iron Head,91.68
2024-04_gen6ou-0.json,Excadrill,Moves,,Rapid Spin,90.071
2024-04_gen6ou-0.json,Excadrill,Moves,,Stealth Rock,33.818
2024-04_gen6ou-0.json,Excadrill,Moves,,Rock Slide,32.809
2024-04_gen6ou-0.json,Excadrill,Moves,,Swords Dance,19.483
2024-04_gen6ou-0.json,Excadrill,Moves,,Toxic,10.613
2024-04_gen6ou-0.json,Excadrill,Moves,,Substitute,9.757
2024-04_gen6ou-0.json,Excadrill,Moves,,Other,12.483
2024-04_gen6ou-0.json,Excadrill,Teammates,,Clefable,24.732
2024-04_gen6ou-0.json,Excadrill,Teammates,,Serperior,23.357
2024-04_gen6ou-0.json,Excadrill,Teammates,,Tornadus-Therian,18.878
2024-04_gen6ou-0.json,Excadrill,Teammates,,Tyranitar,18.209
2024-04_gen6ou-0.json,Excadrill,Teammates,,Weavile,17.782
2024-04_gen6ou-0.json,Excadrill,Teammates,,Rotom-Wash,17.703
2024-04_gen6ou-0.json,Excadrill,Teammates,,Zapdos,16.995
2024-04_gen6ou-0.json,Excadrill,Teammates,,Volcanion,16.987
2024-04_gen6ou-0.json,Excadrill,Teammates,,Slowbro,12.136
2024-04_gen6ou-0.json,Excadrill,Teammates,,Landorus-Therian,11.622
2024-04_gen6ou-0.json,Excadrill,Teammates,,Talonflame,11.554
2024-04_gen6ou-0.json,Clefable,Stats,Raw count,,27502
2024-04_gen6ou-0.json,Clefable,Stats,Avg. weight,,1.0
2024-04_gen6ou-0.json,Clefable,Stats,Viability Ceiling,,93
2024-04_gen6ou-0.json,Clefable,Stats,Bold,,3.531
2024-04_gen6ou-0.json,Clefable,Stats,Calm,,3.869
2024-04_gen6ou-0.json,Clefable,Abilities,,Magic Guard,86.59
2024-04_gen6ou-0.json,Clefable,Abilities,,Unaware,12.763
2024-04_gen6ou-0.json,Clefable,Abilities,,Cute Charm,0.647
2024-04_gen6ou-0.json,Clefable,Items,,Leftovers,77.733
2024-04_gen6ou-0.json,Clefable,Items,,Life Orb,16.944
2024-04_gen6ou-0.json,Clefable,Items,,Sticky Barb,1.869
2024-04_gen6ou-0.json,Clefable,Items,,Other,3.454
2024-04_gen6ou-0.json,Clefable,Spreads,,Other,56.876
2024-04_gen6ou-0.json,Clefable,Moves,,Moonblast,91.368
2024-04_gen6ou-0.json,Clefable,Moves,,Soft-Boiled,78.827
2024-04_gen6ou-0.json,Clefable,Moves,,Calm Mind,47.08
2024-04_gen6ou-0.json,Clefable,Moves,,Stealth Rock,36.488
2024-04_gen6ou-0.json,Clefable,Moves,,Thunder Wave,30.114
2024-04_gen6ou-0.json,Clefable,Moves,,Flamethrower,27.267
2024-04_gen6ou-0.json,Clefable,Moves,,Knock Off,15.548
