source,pokemon,category,type,name,usage
2019-08_gen4ou-0.json,Tyranitar,Stats,Raw count,,25187
2019-08_gen4ou-0.json,Tyranitar,Stats,Avg. weight,,1.0
2019-08_gen4ou-0.json,Tyranitar,Stats,Viability Ceiling,,91
2019-08_gen4ou-0.json,Tyranitar,Stats,Jolly,,5.312
2019-08_gen4ou-0.json,Tyranitar,Stats,Adamant,,2.466
2019-08_gen4ou-0.json,Tyranitar,Abilities,,Sand Stream,100.0
2019-08_gen4ou-0.json,Tyranitar,Items,,Choice Band,21.583
2019-08_gen4ou-0.json,Tyranitar,Items,,Choice Scarf,19.808
2019-08_gen4ou-0.json,Tyranitar,Items,,Passho Berry,14.218
2019-08_gen4ou-0.json,Tyranitar,Items,,Leftovers,10.97
2019-08_gen4ou-0.json,Tyranitar,Items,,Shuca Berry,8.882
2019-08_gen4ou-0.json,Tyranitar,Items,,Lum Berry,8.639
2019-08_gen4ou-0.json,Tyranitar,Items,,Custap Berry,4.304
2019-08_gen4ou-0.json,Tyranitar,Items,,Chople Berry,3.311
2019-08_gen4ou-0.json,Tyranitar,Items,,Life Orb,2.89
2019-08_gen4ou-0.json,Tyranitar,Items,,Expert Belt,2.843
2019-08_gen4ou-0.json,Tyranitar,Items,,Other,2.553
2019-08_gen4ou-0.json,Tyranitar,Spreads,,Other,58.487
2019-08_gen4ou-0.json,Tyranitar,Moves,,Crunch,77.762
2019-08_gen4ou-0.json,Tyranitar,Moves,,Stone Edge,66.757
2019-08_gen4ou-0.json,Tyranitar,Moves,,Pursuit,54.413
2019-08_gen4ou-0.json,Tyranitar,Moves,,Earthquake,41.716
2019-08_gen4ou-0.json,Tyranitar,Moves,,Superpower,38.182
2019-08_gen4ou-0.json,Tyranitar,Moves,,Dragon Dance,20.876
2019-08_gen4ou-0.json,Tyranitar,Moves,,Stealth Rock,18.351
2019-08_gen4ou-0.json,Tyranitar,Moves,,Fire Blast,17.727
2019-08_gen4ou-0.json,Tyranitar,Moves,,Ice Punch,15.103
2019-08_gen4ou-0.json,Tyranitar,Moves,,Ice Beam,6.638
2019-08_gen4ou-0.json,Tyranitar,Moves,,Fire Punch,4.804
2019-08_gen4ou-0.json,Tyranitar,Moves,,Flamethrower,4.729
2019-08_gen4ou-0.json,Tyranitar,Moves,,Substitute,4.022
2019-08_gen4ou-0.json,Tyranitar,Moves,,Focus Punch,3.764
2019-08_gen4ou-0.json,Tyranitar,Moves,,Aqua Tail,3.637
2019-08_gen4ou-0.json,Tyranitar,Moves,,Rock Slide,3.502
2019-08_gen4ou-0.json,Tyranitar,Moves,,Other,18.017
2019-08_gen4ou-0.json,Heatran,Stats,Raw count,,17687
2019-08_gen4ou-0.json,Heatran,Stats,Avg. weight,,1.0
2019-08_gen4ou-0.json,Heatran,Stats,Viability Ceiling,,89
2019-08_gen4ou-0.json,Heatran,Stats,Timid,,3.562
2019-08_gen4ou-0.json,Heatran,Stats,Naive,,11.195
2019-08_gen4ou-0.json,Heatran,Stats,Hasty,,3.528
2019-08_gen4ou-0.json,Heatran,Stats,Calm,,3.517
2019-08_gen4ou-0.json,Heatran,Abilities,,Flash Fire,100.0
2019-08_gen4ou-0.json,Heatran,Items,,Choice Scarf,28.886
2019-08_gen4ou-0.json,Heatran,Items,,Leftovers,25.929
2019-08_gen4ou-0.json,Heatran,Items,,Shuca Berry,19.336
2019-08_gen4ou-0.json,Heatran,Items,,Choice Specs,10.918
2019-08_gen4ou-0.json,Heatran,Items,,Passho Berry,7.457
2019-08_gen4ou-0.json,Heatran,Items,,Life Orb,3.941
2019-08_gen4ou-0.json,Heatran,Items,,Other,3.534
2019-08_gen4ou-0.json,Heatran,Spreads,,Other,61.667
2019-08_gen4ou-0.json,Heatran,Moves,,Earth Power,88.777
2019-08_gen4ou-0.json,Heatran,Moves,,Fire Blast,56.663
2019-08_gen4ou-0.json,Heatran,Moves,,Explosion,48.736
2019-08_gen4ou-0.json,Heatran,Moves,,Stealth Rock,29.457
2019-08_gen4ou-0.json,Heatran,Moves,,Hidden Power Grass,23.288
2019-08_gen4ou-0.json,Heatran,Moves,,Dragon Pulse,17.041
2019-08_gen4ou-0.json,Heatran,Moves,,Lava Plume,16.244
2019-08_gen4ou-0.json,Heatran,Moves,,Protect,12.749
2019-08_gen4ou-0.json,Heatran,Moves,,Flamethrower,12.591
2019-08_gen4ou-0.json,Heatran,Moves,,Substitute,12.557
2019-08_gen4ou-0.json,Heatran,Moves,,Overheat,11.964
2019-08_gen4ou-0.json,Heatran,Moves,,Hidden Power Ice,11.347
2019-08_gen4ou-0.json,Heatran,Moves,,Magma Storm,9.182
2019-08_gen4ou-0.json,Heatran,Moves,,Flash Cannon,8.215
2019-08_gen4ou-0.json,Heatran,Moves,,Hidden Power Electric,7.616
2019-08_gen4ou-0.json,Heatran,Moves,,Toxic,6.321
2019-08_gen4ou-0.json,Heatran,Moves,,Roar,4.495
2019-08_gen4ou-0.json,Heatran,Moves,,Will-O-Wisp,4.478
2019-08_gen4ou-0.json,Heatran,Moves,,Other,18.279
2019-08_gen4ou-0.json,Starmie,Stats,Raw count,,17578
2019-08_gen4ou-0.json,Starmie,Stats,Avg. weight,,1.0
2019-08_gen4ou-0.json,Starmie,Stats,Viability Ceiling,,90
2019-08_gen4ou-0.json,Starmie,Stats,Timid,,3.527
2019-08_gen4ou-0.json,Starmie,Stats,Bold,,4.193
2019-08_gen4ou-0.json,Starmie,Abilities,,Natural Cure,95.108
2019-08_gen4ou-0.json,Starmie,Abilities,,Illuminate,4.892
2019-08_gen4ou-0.json,Starmie,Items,,Leftovers,52.953
2019-08_gen4ou-0.json,Starmie,Items,,Life Orb,28.092
2019-08_gen4ou-0.json,Starmie,Items,,Choice Specs,6.372
2019-08_gen4ou-0.json,Starmie,Items,,Colbur Berry,6.167
2019-08_gen4ou-0.json,Starmie,Items,,Choice Scarf,2.554
2019-08_gen4ou-0.json,Starmie,Items,,Other,3.863
2019-08_gen4ou-0.json,Starmie,Spreads,,Other,30.521
2019-08_gen4ou-0.json,Starmie,Moves,,Rapid Spin,84.907
2019-08_gen4ou-0.json,Starmie,Moves,,Thunderbolt,67.676
2019-08_gen4ou-0.json,Starmie,Moves,,Ice Beam,55.689
2019-08_gen4ou-0.json,Starmie,Moves,,Hydro Pump,49.579
2019-08_gen4ou-0.json,Starmie,Moves,,Surf,49.295
2019-08_gen4ou-0.json,Starmie,Moves,,Recover,42.809
2019-08_gen4ou-0.json,Starmie,Moves,,Psychic,23.603
2019-08_gen4ou-0.json,Starmie,Moves,,Thunder Wave,10.069
2019-08_gen4ou-0.json,Starmie,Moves,,Other,16.373
2019-08_gen4ou-0.json,Jirachi,Stats,Raw count,,14219
2019-08_gen4ou-0.json,Jirachi,Stats,Avg. weight,,1.0
2019-08_gen4ou-0.json,Jirachi,Stats,Viability Ceiling,,91
2019-08_gen4ou-0.json,Jirachi,Stats,Jolly,,4.993
2019-08_gen4ou-0.json,Jirachi,Stats,Careful,,4.128
2019-08_gen4ou-0.json,Jirachi,Stats,Timid,,2.855
2019-08_gen4ou-0.json,Jirachi,Stats,Adamant,,2.546
2019-08_gen4ou-0.json,Jirachi,Abilities,,Serene Grace,100.0
2019-08_gen4ou-0.json,Jirachi,Items,,Leftovers,60.328
2019-08_gen4ou-0.json,Jirachi,Items,,Choice Scarf,23.553
2019-08_gen4ou-0.json,Jirachi,Items,,Shuca Berry,5.436
2019-08_gen4ou-0.json,Jirachi,Items,,Occa Berry,3.017
2019-08_gen4ou-0.json,Jirachi,Items,,Expert Belt,2.672
2019-08_gen4ou-0.json,Jirachi,Items,,Other,4.993
2019-08_gen4ou-0.json,Jirachi,Spreads,,Other,66.123
2019-08_gen4ou-0.json,Jirachi,Moves,,Iron Head,78.325
2019-08_gen4ou-0.json,Jirachi,Moves,,Fire Punch,47.19
2019-08_gen4ou-0.json,Jirachi,Moves,,Body Slam,33.962
2019-08_gen4ou-0.json,Jirachi,Moves,,U-turn,24.179
2019-08_gen4ou-0.json,Jirachi,Moves,,Stealth Rock,21.71
2019-08_gen4ou-0.json,Jirachi,Moves,,Ice Punch,20.592
2019-08_gen4ou-0.json,Jirachi,Moves,,Wish,19.565
2019-08_gen4ou-0.json,Jirachi,Moves,,Psychic,16.752
2019-08_gen4ou-0.json,Jirachi,Moves,,Thunderbolt,15.803
2019-08_gen4ou-0.json,Jirachi,Moves,,Calm Mind,14.642
2019-08_gen4ou-0.json,Jirachi,Moves,,Substitute,12.005
2019-08_gen4ou-0.json,Jirachi,Moves,,Grass Knot,11.611
2019-08_gen4ou-0.json,Jirachi,Moves,,Trick,10.43
2019-08_gen4ou-0.json,Jirachi,Moves,,Thunder Punch,9.22
2019-08_gen4ou-0.json,Jirachi,Moves,,Protect,9.164
2019-08_gen4ou-0.json,Jirachi,Moves,,Hidden Power Ground,8.897
2019-08_gen4ou-0.json,Jirachi,Moves,,Thunder Wave,7.237
2019-08_gen4ou-0.json,Jirachi,Moves,,Thunder,5.999
2019-08_gen4ou-0.json,Jirachi,Moves,,Zen Headbutt,5.486
2019-08_gen4ou-0.json,Jirachi,Moves,,Healing Wish,4.832
2019-08_gen4ou-0.json,Jirachi,Moves,,Hidden Power Fire,4.417
2019-08_gen4ou-0.json,Jirachi,Moves,,Other,17.983
2019-08_gen4ou-0.json,Scizor,Stats,Raw count,,13213
2019-08_gen4ou-0.json,Scizor,Stats,Avg. weight,,1.0
2019-08_gen4ou-0.json,Scizor,Stats,Viability Ceiling,,90
2019-08_gen4ou-0.json,Scizor,Stats,Adamant,,3.322
2019-08_gen4ou-0.json,Scizor,Stats,Jolly,,4.904
2019-08_gen4ou-0.json,Scizor,Abilities,,Technician,96.307
2019-08_gen4ou-0.json,Scizor,Abilities,,Swarm,3.693
2019-08_gen4ou-0.json,Scizor,Items,,Choice Band,41.542
2019-08_gen4ou-0.json,Scizor,Items,,Life Orb,20.018
2019-08_gen4ou-0.json,Scizor,Items,,Leftovers,16.779
2019-08_gen4ou-0.json,Scizor,Items,,Choice Scarf,8.575
2019-08_gen4ou-0.json,Scizor,Items,,Damp Rock,3.232
2019-08_gen4ou-0.json,Scizor,Items,,Metal Coat,2.255
2019-08_gen4ou-0.json,Scizor,Items,,Focus Sash,2.059
2019-08_gen4ou-0.json,Scizor,Items,,Lum Berry,1.741
2019-08_gen4ou-0.json,Scizor,Items,,Other,3.799
2019-08_gen4ou-0.json,Scizor,Spreads,,Other,41.671
2019-08_gen4ou-0.json,Scizor,Moves,,Bullet Punch,97.722
2019-08_gen4ou-0.json,Scizor,Moves,,U-turn,63.702
2019-08_gen4ou-0.json,Scizor,Moves,,Superpower,62.136
2019-08_gen4ou-0.json,Scizor,Moves,,Pursuit,47.128
2019-08_gen4ou-0.json,Scizor,Moves,,Swords Dance,40.006
2019-08_gen4ou-0.json,Scizor,Moves,,Bug Bite,25.891
2019-08_gen4ou-0.json,Scizor,Moves,,Roost,21.206
2019-08_gen4ou-0.json,Scizor,Moves,,Brick Break,11.141
2019-08_gen4ou-0.json,Scizor,Moves,,Quick Attack,5.426
2019-08_gen4ou-0.json,Scizor,Moves,,X-Scissor,4.147
2019-08_gen4ou-0.json,Scizor,Moves,,Night Slash,3.451
2019-08_gen4ou-0.json,Scizor,Moves,,Other,18.043
2019-08_gen4ou-0.json,Dragonite,Stats,Raw count,,12911
2019-08_gen4ou-0.json,Dragonite,Stats,Avg. weight,,1.0
2019-08_gen4ou-0.json,Dragonite,Stats,Viability Ceiling,,90
2019-08_gen4ou-0.json,Dragonite,Stats,Adamant,,8.861
2019-08_gen4ou-0.json,Dragonite,Stats,Jolly,,6.707
2019-08_gen4ou-0.json,Dragonite,Stats,Mild,,6.723
2019-08_gen4ou-0.json,Dragonite,Stats,Rash,,3.981
2019-08_gen4ou-0.json,Dragonite,Abilities,,Inner Focus,100.0
2019-08_gen4ou-0.json,Dragonite,Items,,Life Orb,35.427
2019-08_gen4ou-0.json,Dragonite,Items,,Lum Berry,24.77
2019-08_gen4ou-0.json,Dragonite,Items,,Choice Band,16.25
2019-08_gen4ou-0.json,Dragonite,Items,,Leftovers,11.757
2019-08_gen4ou-0.json,Dragonite,Items,,Yache Berry,4.756
2019-08_gen4ou-0.json,Dragonite,Items,,Sitrus Berry,1.944
2019-08_gen4ou-0.json,Dragonite,Items,,Focus Sash,1.216
2019-08_gen4ou-0.json,Dragonite,Items,,Other,3.88
2019-08_gen4ou-0.json,Dragonite,Spreads,,Other,43.622
2019-08_gen4ou-0.json,Dragonite,Moves,,Extreme Speed,66.029
2019-08_gen4ou-0.json,Dragonite,Moves,,Earthquake,56.432
2019-08_gen4ou-0.json,Dragonite,Moves,,Dragon Dance,53.164
2019-08_gen4ou-0.json,Dragonite,Moves,,Outrage,53.017
2019-08_gen4ou-0.json,Dragonite,Moves,,Fire Punch,27.504
2019-08_gen4ou-0.json,Dragonite,Moves,,Draco Meteor,25.575
2019-08_gen4ou-0.json,Dragonite,Moves,,Superpower,25.273
2019-08_gen4ou-0.json,Dragonite,Moves,,Dragon Claw,24.406
2019-08_gen4ou-0.json,Dragonite,Moves,,Fire Blast,21.578
2019-08_gen4ou-0.json,Dragonite,Moves,,Roost,14.066
2019-08_gen4ou-0.json,Dragonite,Moves,,Flamethrower,4.035
2019-08_gen4ou-0.json,Dragonite,Moves,,Sleep Talk,3.439
2019-08_gen4ou-0.json,Dragonite,Moves,,Thunder Punch,3.423
2019-08_gen4ou-0.json,Dragonite,Moves,,Ice Punch,3.392
2019-08_gen4ou-0.json,Dragonite,Moves,,Other,18.666
2019-08_gen4ou-0.json,Infernape,Stats,Raw count,,12805
2019-08_gen4ou-0.json,Infernape,Stats,Avg. weight,,1.0
2019-08_gen4ou-0.json,Infernape,Stats,Viability Ceiling,,88
2019-08_gen4ou-0.json,Infernape,Stats,Jolly,,7.325
2019-08_gen4ou-0.json,Infernape,Stats,Naive,,8.684
2019-08_gen4ou-0.json,Infernape,Stats,Hasty,,3.085
2019-08_gen4ou-0.json,Infernape,Abilities,,Blaze,100.0
2019-08_gen4ou-0.json,Infernape,Items,,Life Orb,38.157
2019-08_gen4ou-0.json,Infernape,Items,,Choice Scarf,20.195
2019-08_gen4ou-0.json,Infernape,Items,,Focus Sash,13.737
2019-08_gen4ou-0.json,Infernape,Items,,Choice Band,11.027
2019-08_gen4ou-0.json,Infernape,Items,,Leftovers,4.897
2019-08_gen4ou-0.json,Infernape,Items,,Expert Belt,4.881
2019-08_gen4ou-0.json,Infernape,Items,,Black Belt,1.203
2019-08_gen4ou-0.json,Infernape,Items,,Sitrus Berry,1.109
2019-08_gen4ou-0.json,Infernape,Items,,Other,4.795
2019-08_gen4ou-0.json,Infernape,Spreads,,Other,45.92
