source,pokemon,category,type,name,usage
2023-09_gen8ou-0.json,Ferrothorn,Stats,Raw count,,38138
2023-09_gen8ou-0.json,Ferrothorn,Stats,Avg. weight,,1.0
2023-09_gen8ou-0.json,Ferrothorn,Stats,Viability Ceiling,,94
2023-09_gen8ou-0.json,Ferrothorn,Stats,Impish,,3.320
2023-09_gen8ou-0.json,Ferrothorn,Stats,Relaxed,,2.286
2023-09_gen8ou-0.json,Ferrothorn,Abilities,,Iron Barbs,99.599
2023-09_gen8ou-0.json,Ferrothorn,Abilities,,Anticipation,0.401
2023-09_gen8ou-0.json,Ferrothorn,Items,,Leftovers,68.624
2023-09_gen8ou-0.json,Ferrothorn,Items,,Rocky Helmet,27.188
2023-09_gen8ou-0.json,Ferrothorn,Items,,Other,4.187
2023-09_gen8ou-0.json,Ferrothorn,Spreads,,Other,52.501
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Leech Seed,92.346
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Knock Off,56.896
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Spikes,53.199
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Stealth Rock,40.938
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Power Whip,40.196
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Gyro Ball,37.422
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Body Press,23.085
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Protect,16.59
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Toxic,10.541
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Thunder Wave,6.671
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Iron Defense,5.96
2023-09_gen8ou-0.json,Ferrothorn,Moves,,Other,16.157
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Zapdos,30.99
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Garchomp,29.029
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Urshifu-Rapid-Strike,28.848
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Landorus-Therian,24.485
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Blissey,20.727
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Dragapult,19.411
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Bisharp,17.885
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Pelipper,15.659
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Toxapex,12.977
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Clefable,12.048
2023-09_gen8ou-0.json,Ferrothorn,Teammates,,Barraskewda,11.178
2023-09_gen8ou-0.json,Landorus-Therian,Stats,Raw count,,35680
2023-09_gen8ou-0.json,Landorus-Therian,Stats,Avg. weight,,1.0
2023-09_gen8ou-0.json,Landorus-Therian,Stats,Viability Ceiling,,93
2023-09_gen8ou-0.json,Landorus-Therian,Stats,Jolly,,2.674
2023-09_gen8ou-0.json,Landorus-Therian,Stats,Impish,,7.654
2023-09_gen8ou-0.json,Landorus-Therian,Stats,Careful,,4.162
2023-09_gen8ou-0.json,Landorus-Therian,Abilities,,Intimidate,100.0
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Leftovers,65.883
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Choice Scarf,9.669
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Rocky Helmet,8.372
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Choice Band,2.57
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Focus Sash,2.393
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Life Orb,2.08
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Heavy-Duty Boots,1.648
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Normal Gem,0.894
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Custap Berry,0.779
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Soft Sand,0.709
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Eject Button,0.673
2023-09_gen8ou-0.json,Landorus-Therian,Items,,Other,4.33
2023-09_gen8ou-0.json,Landorus-Therian,Spreads,,Other,59.35
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Earthquake,96.783
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,U-turn,80.908
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Stealth Rock,51.822
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Toxic,39.148
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Knock Off,37.172
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Defog,36.827
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Stone Edge,14.479
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Explosion,7.915
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Swords Dance,7.609
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Rock Slide,3.15
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Superpower,2.486
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Smack Down,2.237
2023-09_gen8ou-0.json,Landorus-Therian,Moves,,Other,19.465
2023-09_gen8ou-0.json,Landorus-Therian,Teammates,,Dragapult,30.022
2023-09_gen8ou-0.json,Landorus-Therian,Teammates,,Ferrothorn,26.172
2023-09_gen8ou-0.json,Landorus-Therian,Teammates,,Heatran,23.436
2023-09_gen8ou-0.json,Landorus-Therian,Teammates,,Urshifu-Rapid-Strike,18.024
2023-09_gen8ou-0.json,Landorus-Therian,Teammates,,Weavile,17.87
2023-09_gen8ou-0.json,Landorus-Therian,Teammates,,Kartana,17.761
2023-09_gen8ou-0.json,Landorus-Therian,Teammates,,Tapu Lele,16.945
