source,pokemon,category,type,name,usage
2018-04_gen4ou-0.json,Tyranitar,Stats,Raw count,,17428
2018-04_gen4ou-0.json,Tyranitar,Stats,Avg. weight,,1.0
2018-04_gen4ou-0.json,Tyranitar,Stats,Viability Ceiling,,93
2018-04_gen4ou-0.json,Tyranitar,Stats,Jolly,,6.122
2018-04_gen4ou-0.json,Tyranitar,Stats,Adamant,,3.971
2018-04_gen4ou-0.json,Tyranitar,Stats,Lonely,,3.919
2018-04_gen4ou-0.json,Tyranitar,Abilities,,Sand Stream,100.0
2018-04_gen4ou-0.json,Tyranitar,Items,,Choice Band,23.537
2018-04_gen4ou-0.json,Tyranitar,Items,,Choice Scarf,21.029
2018-04_gen4ou-0.json,Tyranitar,Items,,Passho Berry,13.289
2018-04_gen4ou-0.json,Tyranitar,Items,,Leftovers,10.718
2018-04_gen4ou-0.json,Tyranitar,Items,,Lum Berry,10.225
2018-04_gen4ou-0.json,Tyranitar,Items,,Shuca Berry,8.968
2018-04_gen4ou-0.json,Tyranitar,Items,,Chople Berry,3.144
2018-04_gen4ou-0.json,Tyranitar,Items,,Expert Belt,2.335
2018-04_gen4ou-0.json,Tyranitar,Items,,Life Orb,1.916
2018-04_gen4ou-0.json,Tyranitar,Items,,Other,4.837
2018-04_gen4ou-0.json,Tyranitar,Spreads,,Other,51.503
2018-04_gen4ou-0.json,Tyranitar,Moves,,Crunch,79.062
2018-04_gen4ou-0.json,Tyranitar,Moves,,Stone Edge,72.28
2018-04_gen4ou-0.json,Tyranitar,Moves,,Pursuit,54.252
2018-04_gen4ou-0.json,Tyranitar,Moves,,Superpower,41.152
2018-04_gen4ou-0.json,Tyranitar,Moves,,Earthquake,37.285
2018-04_gen4ou-0.json,Tyranitar,Moves,,Dragon Dance,21.638
2018-04_gen4ou-0.json,Tyranitar,Moves,,Stealth Rock,17.69
2018-04_gen4ou-0.json,Tyranitar,Moves,,Fire Blast,17.478
2018-04_gen4ou-0.json,Tyranitar,Moves,,Ice Punch,15.986
2018-04_gen4ou-0.json,Tyranitar,Moves,,Fire Punch,5.795
2018-04_gen4ou-0.json,Tyranitar,Moves,,Aqua Tail,4.94
2018-04_gen4ou-0.json,Tyranitar,Moves,,Flamethrower,4.24
2018-04_gen4ou-0.json,Tyranitar,Moves,,Ice Beam,3.902
2018-04_gen4ou-0.json,Tyranitar,Moves,,Dark Pulse,3.557
2018-04_gen4ou-0.json,Tyranitar,Moves,,Substitute,2.657
2018-04_gen4ou-0.json,Tyranitar,Moves,,Other,18.086
2018-04_gen4ou-0.json,Heatran,Stats,Raw count,,13946
2018-04_gen4ou-0.json,Heatran,Stats,Avg. weight,,1.0
2018-04_gen4ou-0.json,Heatran,Stats,Viability Ceiling,,89
2018-04_gen4ou-0.json,Heatran,Stats,Hasty,,5.242
2018-04_gen4ou-0.json,Heatran,Stats,Timid,,3.894
2018-04_gen4ou-0.json,Heatran,Stats,Naive,,9.300
2018-04_gen4ou-0.json,Heatran,Stats,Calm,,3.872
2018-04_gen4ou-0.json,Heatran,Abilities,,Flash Fire,100.0
2018-04_gen4ou-0.json,Heatran,Items,,Choice Scarf,33.766
2018-04_gen4ou-0.json,Heatran,Items,,Leftovers,21.727
2018-04_gen4ou-0.json,Heatran,Items,,Shuca Berry,20.924
2018-04_gen4ou-0.json,Heatran,Items,,Passho Berry,9.257
2018-04_gen4ou-0.json,Heatran,Items,,Choice Specs,6.618
2018-04_gen4ou-0.json,Heatran,Items,,Life Orb,3.972
2018-04_gen4ou-0.json,Heatran,Items,,Other,3.736
2018-04_gen4ou-0.json,Heatran,Spreads,,Other,57.68
2018-04_gen4ou-0.json,Heatran,Moves,,Earth Power,83.321
2018-04_gen4ou-0.json,Heatran,Moves,,Fire Blast,62.283
2018-04_gen4ou-0.json,Heatran,Moves,,Explosion,56.905
2018-04_gen4ou-0.json,Heatran,Moves,,Stealth Rock,36.068
2018-04_gen4ou-0.json,Heatran,Moves,,Hidden Power Ice,22.221
2018-04_gen4ou-0.json,Heatran,Moves,,Hidden Power Grass,19.325
2018-04_gen4ou-0.json,Heatran,Moves,,Flamethrower,15.331
2018-04_gen4ou-0.json,Heatran,Moves,,Lava Plume,13.481
2018-04_gen4ou-0.json,Heatran,Moves,,Dragon Pulse,11.839
2018-04_gen4ou-0.json,Heatran,Moves,,Protect,9.895
2018-04_gen4ou-0.json,Heatran,Moves,,Flash Cannon,8.433
2018-04_gen4ou-0.json,Heatran,Moves,,Toxic,7.077
2018-04_gen4ou-0.json,Heatran,Moves,,Taunt,6.848
2018-04_gen4ou-0.json,Heatran,Moves,,Overheat,6.396
2018-04_gen4ou-0.json,Heatran,Moves,,Hidden Power Electric,6.267
2018-04_gen4ou-0.json,Heatran,Moves,,Substitute,5.629
2018-04_gen4ou-0.json,Heatran,Moves,,Magma Storm,5.392
